,source,claim,verdict,qoute,date,scrape_date
0,West Virginia Democratic Party,"The Affordable Care Act ""provided over 200,000 West Virginians with health care coverage.""",true,It adds up,2019-04-17,2019-04-23 16:46:59.185497
0,Andrew Byrd,"""The states that have passed (campus carry laws) have seen enrollment drop significantly.""",false,There's no common pattern,2019-04-16,2019-04-23 16:46:59.187476
0,Shelley Moore Capito,"""Beginning in the early 1990s, we built barriers in 4 sectors at our southern border. Since each was built, those sectors have seen massive drops in apprehensions of people crossing the border illegally,"" including 90 percent to 95 percent decreases in the Tucson, Yuma, San Diego and El Paso sectors. ​",barely-true,Overstates the case,2019-04-08,2019-04-23 16:46:59.189059
0,Mike Romano,"In the state rankings for ACT test scores, West Virginia ""is 30th. Which states are listed in the bottom? 15 states with charter schools.""",barely-true,They clustered below AND above,2019-04-04,2019-04-23 16:46:59.190615
0,Mitch Carmichael,"In West Virginia, ""our students enter in at fourth grade the first time they’re tested, 37th or 38th in the nation—which is not good, but it’s not horrible. By the time they’re in the 8th grade, they’re 46th or 47th, and then upon 11th grade testing they’re near last.""",mostly-true,The general pattern holds,2019-04-03,2019-04-23 16:46:59.192111
0,Jeremiah Samples,"""We have had an increase of 67 percent (in) the number of children taken into state custody since 2014.""",mostly-true,One consequence of the opioid crisis,2019-04-03,2019-04-23 16:46:59.193875
0,West Virginia Republican Party,"""We have more women in the workforce than ever before.""",half-true,"The percentage, not the number, matters",2019-03-27,2019-04-23 16:46:59.195603
0,Brian Joseph,"""The catalytic converter used in automobiles was invented in West Virginia.""",barely-true,A key inventor was born there,2019-03-27,2019-04-23 16:46:59.197216
0,Facebook posts,"""Right here (in West Virginia), they are building new houses … so that 321 Syrian Muslims can move down into this neighborhood in two months. … (A funeral home) is to be torn down in two months, and a mosque is going to built there.""",pants-fire,Almost nothing accurate in this video,2019-03-27,2019-04-23 16:46:59.198813
0,Jim Justice,"""This is the largest cumulative surplus for the first six months of any fiscal year in state history.""",mostly-true,"Since 1999, at least",2019-03-06,2019-04-23 16:46:59.200343
